from,to,distance,ntrains
AKV,KSB,18.0,12
AKV,BH,10.0,22
AKV,PAO,10.0,7
AKVD,BVRT,18.0,36
AKVD,KKLR,17.0,38
AKVD,UNDI,10.0,2
ALAT,RDG,31.0,2
ALAT,KYND,16.0,2
ALB,WTJ,12.0,4
ALB,HAPA,10.0,4
ALER,ZN,14.0,18
ALER,BG,23.0,14
ALER,YADD,17.0,4
ALGP,HKD,8.0,3
ALGP,KTX,11.0,3
ALJN,TDL,78.0,38
ALJN,GZB,106.0,27
ALJN,ETW,170.0,5
ALJN,NDLS,132.0,9
ALJN,HRS,30.0,20
ALJN,KRJ,44.0,20
ALJN,CNB,309.0,19
ALJN,JJK,246.0,1
ALJN,ANVT,119.0,20
ALJN,DLI,126.0,5
ALJN,DIB,42.0,2
ALJN,ETUE,77.0,2
ALJN,BBA,55.0,4
ALJN,MWUE,6.0,1
ALJN,DAQ,7.0,1
ALLP,SRTL,23.0,23
ALLP,KYJ,44.0,24
ALLP,ERS,57.0,30
ALLP,QLN,85.0,10
ALLP,AMPA,13.0,18
ALLP,MAKM,13.0,5
ALM,KUK,7.0,4
ALM,KPL,9.0,4
ALMR,NGA,8.0,1
ALMR,UJ,7.0,1
ALPR,KRNT,7.0,1
ALPR,SBBJ,2.0,1
ALS,HTW,9.0,2
ALS,SVC,6.0,2
ALU,VRI,53.0,27
ALU,LLI,43.0,2
ALU,SRGM,58.0,20
ALU,TPJ,70.0,9
ALU,KKPM,25.0,2
ALU,PNDM,35.0,2
ALU,VM,107.0,4
ALUR,HAS,13.0,4
ALUR,SKLR,29.0,4
ALW,BOZ,1.0,1
ALW,CVB,2.0,1
AMB,MNGD,25.0,12
AMB,KSNG,48.0,4
AMB,NRLR,25.0,4
AMB,LJR,13.0,8
AMB,DKLU,12.0,4
AMBR,LTRR,13.0,1
AMBR,KTKR,8.0,1
AMC,JRU,13.0,3
AMC,CTA,21.0,3
AME,RBL,60.0,18
AME,MBDP,35.0,36
AME,JAIS,31.0,4
AME,GNG,13.0,24
AME,MCDA,14.0,9
AME,MFL,7.0,1
AMG,HRI,96.0,9
AMG,LKO,6.0,18
AMG,SAN,43.0,8
AMG,MLD,20.0,1
AMG,KKJ,8.0,1
AMG,LNWT,4.0,1
AMGA,DDNI,10.0,2
AMGA,RGJI,10.0,2
AMH,SMZ,26.0,8
AMH,MMA,21.0,20
AMH,MAU,43.0,6
AMH,KRND,35.0,11
AMH,SHG,57.0,9
AMH,SAA,12.0,2
AMI,BD,9.0,12
AMI,CND,38.0,4
AML,BIM,5.0,13
AML,NVS,16.0,8
AMLA,NRKR,82.0,4
AMLA,BZU,22.0,44
AMLA,JKR,12.0,2
AMLA,PAR,64.0,8
AMLA,MTY,23.0,20
AMLA,NGP,166.0,8
AMLA,BYS,10.0,3
AMLA,LLD,7.0,4
AMLA,BXY,27.0,4
AMLI,RWJ,8.0,4
AMLI,IDG,13.0,4
AMLP,VAN,3.0,1
AMLP,SAK,5.0,1
AMM,PKT,12.0,10
AMM,TTP,38.0,2
AMM,MTT,15.0,8
AMNE,HTLA,8.0,1
AMO,BHWR,4.0,1
AMO,NKE,13.0,1
AMP,PNE,15.0,6
AMP,SNT,13.0,14
AMP,BHP,20.0,8
AMP,KPLE,9.0,3
AMP,BSLE,6.0,3
AMPA,HAD,18.0,18
AMPL,MZC,4.0,1
AMPL,PPT,4.0,1
AMPR,RMH,8.0,1
AMPR,PGK,7.0,1
AMQ,CVB,1.0,1
AMQ,RKO,1.0,1
AMRO,MB,30.0,36
AMRO,GJL,23.0,16
AMRO,HPU,74.0,18
AMRO,GZB,110.0,2
AMSA,GBB,25.0,4
AMSA,TTR,27.0,4
AMSA,BSN,6.0,1
AMSA,SPGR,5.0,1
AN,SNK,41.0,6
AN,DXG,25.0,16
AN,JL,56.0,31
AN,NDB,95.0,23
AN,NDN,28.0,10
AN,BRTK,7.0,4
AN,TKHE,12.0,4
AN,DDE,61.0,16
AN,BSL,79.0,10
AN,ST,255.0,2
ANA,PHA,14.0,2
ANA,DMO,12.0,2
ANAS,BIO,8.0,2
ANAS,MGN,14.0,4
ANAS,DHD,19.0,2
ANB,OGL,15.0,8
ANB,CJM,14.0,8
ANB,RPRL,3.0,2
ANB,KRV,7.0,2
ANCR,BQA,11.0,1
ANCR,CJN,3.0,1
AND,TNI,4.0,1
ANDI,NUR,17.0,2
ANDI,SZM,6.0,3
ANDI,SNP,34.0,1
ANDN,SDDN,31.0,9
ANDN,GKP,42.0,13
ANDN,CM,8.0,6
ANDN,BMJ,13.0,6
ANDN,PJ,18.0,2
ANDN,LIR,21.0,6
ANE,KOU,7.0,2
ANE,OBVP,6.0,2
ANF,SRF,27.0,6
ANF,ARU,15.0,4
ANF,SMET,56.0,2
ANG,DDCC,82.0,50
ANG,BAP,67.0,40
ANG,KPG,111.0,22
ANG,MMR,153.0,2
ANG,DD,84.0,14
ANG,NYDO,12.0,1
ANG,PUNE,154.0,2
ANG,SNSI,103.0,2
ANGL,SBP,156.0,8
ANGL,TLHR,19.0,14
ANGL,SBPY,151.0,14
ANGL,TLHD,12.0,25
ANGL,BONA,39.0,10
ANGL,DNKL,60.0,12
ANGL,KPJG,14.0,2
ANGL,JRPD,24.0,2
ANGL,RAIR,85.0,17
ANGL,BBS,122.0,2
ANGR,BSRX,4.0,1
ANGR,WDL,5.0,1
ANI,KNW,12.0,1
ANI,ATR,17.0,1
ANK,MMR,15.0,2
ANK,NSL,9.0,2
ANKL,KAWR,28.0,14
ANKL,BYNR,97.0,4
ANKL,GOK,8.0,12
ANKL,HAA,15.0,2
ANMD,LAE,7.0,2
ANMD,BLSN,9.0,2
ANND,ND,18.0,169
ANND,BRC,34.0,169
ANND,CYI,31.0,51
ANND,MAN,61.0,4
ANND,VDA,15.0,7
ANND,KBRV,8.0,4
ANND,SNA,7.0,1
ANND,VLYN,5.0,2
ANO,KHED,14.0,3
ANO,CHI,16.0,3
ANPR,SKTN,21.0,2
ANPR,CPU,61.0,2
ANR,PRR,26.0,14
ANR,JOC,14.0,6
ANR,GRB,7.0,2
ANR,KSU,14.0,2
ANR,CKP,145.0,2
ANR,GMO,66.0,2
ANR,ASN,50.0,2
ANSB,KART,8.0,6
ANSB,NLDM,20.0,14
ANSB,RPAR,35.0,8
